cycle,query_idx,query,latency,trust_score,retrieval_accuracy,answer_quality,reasoning_steps,edges_strengthened,emergent_edges,avg_edge_strength,num_relations,condition
1,0,Which smart contracts have vulnerabilities and have not been audited?,10.35,0.625,0.0,0.65,2,1,[],1.0,97,adaptive
1,1,What tokens trade on UniswapV3 and are governed by DAOs?,31.52,0.625,1.0,0.65,2,1,[],1.0,97,adaptive
1,2,What financial analysis capabilities does the system have?,49.36,0.95,0.0,0.76,0,12,0,1.0,97,adaptive
1,3,What are the security risks for the ApolloContract?,34.89,0.75,0.0,0.7,2,1,[],1.0,97,adaptive
1,4,List security risks in ApolloContract,36.47,0.625,0.4,0.65,2,1,[],1.0,97,adaptive
2,0,Which smart contracts have vulnerabilities and have not been audited?,35.9,0.675,0.0,0.67,2,1,[],1.0,97,adaptive
2,1,What tokens trade on UniswapV3 and are governed by DAOs?,36.14,0.625,1.0,0.65,2,1,[],1.0,97,adaptive
2,2,What financial analysis capabilities does the system have?,47.15,0.95,0.0,0.76,0,11,0,1.0,97,adaptive
2,3,What are the security risks for the ApolloContract?,37.11,0.625,0.0,0.65,2,1,[],1.0,97,adaptive
2,4,List security risks in ApolloContract,35.6,0.625,0.4,0.65,2,1,[],1.0,97,adaptive
3,0,Which smart contracts have vulnerabilities and have not been audited?,35.23,0.75,0.0,0.7,2,1,[],1.0,97,adaptive
3,1,What tokens trade on UniswapV3 and are governed by DAOs?,36.48,0.675,1.0,0.67,2,1,[],1.0,97,adaptive
3,2,What financial analysis capabilities does the system have?,48.3,0.95,0.0,0.76,0,12,0,1.0,97,adaptive
3,3,What are the security risks for the ApolloContract?,35.24,0.55,0.0,0.62,2,1,[],1.0,97,adaptive
3,4,List security risks in ApolloContract,36.65,0.625,0.4,0.65,2,1,[],1.0,97,adaptive
